root           1  0.0  0.0 167120 12088 ?        Ss   11:15   0:01 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    11:15   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   11:15   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   11:15   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   11:15   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   11:15   0:00 [netns]
root           8  0.0  0.0      0     0 ?        I<   11:15   0:00 [kworker/0:0H-events_highpri]
root          10  0.0  0.0      0     0 ?        I<   11:15   0:00 [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        I    11:15   0:00 [rcu_tasks_kthread]
root          12  0.0  0.0      0     0 ?        I    11:15   0:00 [rcu_tasks_rude_kthread]
root          13  0.0  0.0      0     0 ?        I    11:15   0:00 [rcu_tasks_trace_kthread]
root          14  0.0  0.0      0     0 ?        S    11:15   0:00 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        I    11:15   0:03 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    11:15   0:00 [migration/0]
root          17  0.0  0.0      0     0 ?        S    11:15   0:00 [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    11:15   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    11:15   0:00 [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    11:15   0:00 [idle_inject/1]
root          22  0.0  0.0      0     0 ?        S    11:15   0:00 [migration/1]
root          23  0.0  0.0      0     0 ?        S    11:15   0:00 [ksoftirqd/1]
root          25  0.0  0.0      0     0 ?        I<   11:15   0:00 [kworker/1:0H-events_highpri]
root          26  0.0  0.0      0     0 ?        S    11:15   0:00 [cpuhp/2]
root          27  0.0  0.0      0     0 ?        S    11:15   0:00 [idle_inject/2]
root          28  0.0  0.0      0     0 ?        S    11:15   0:00 [migration/2]
root          29  0.0  0.0      0     0 ?        S    11:15   0:00 [ksoftirqd/2]
root          31  0.0  0.0      0     0 ?        I<   11:15   0:00 [kworker/2:0H-events_highpri]
root          32  0.0  0.0      0     0 ?        S    11:15   0:00 [cpuhp/3]
root          33  0.0  0.0      0     0 ?        S    11:15   0:00 [idle_inject/3]
root          34  0.0  0.0      0     0 ?        S    11:15   0:00 [migration/3]
root          35  0.0  0.0      0     0 ?        S    11:15   0:00 [ksoftirqd/3]
root          37  0.0  0.0      0     0 ?        I<   11:15   0:00 [kworker/3:0H-events_highpri]
root          38  0.0  0.0      0     0 ?        S    11:15   0:00 [cpuhp/4]
root          39  0.0  0.0      0     0 ?        S    11:15   0:00 [idle_inject/4]
root          40  0.0  0.0      0     0 ?        S    11:15   0:00 [migration/4]
root          41  0.0  0.0      0     0 ?        S    11:15   0:00 [ksoftirqd/4]
root          43  0.0  0.0      0     0 ?        I<   11:15   0:00 [kworker/4:0H-events_highpri]
root          44  0.0  0.0      0     0 ?        S    11:15   0:00 [cpuhp/5]
root          45  0.0  0.0      0     0 ?        S    11:15   0:00 [idle_inject/5]
root          46  0.0  0.0      0     0 ?        S    11:15   0:00 [migration/5]
root          47  0.0  0.0      0     0 ?        S    11:15   0:00 [ksoftirqd/5]
root          49  0.0  0.0      0     0 ?        I<   11:15   0:00 [kworker/5:0H-events_highpri]
root          50  0.0  0.0      0     0 ?        S    11:15   0:00 [kdevtmpfs]
root          51  0.0  0.0      0     0 ?        I<   11:15   0:00 [inet_frag_wq]
root          52  0.0  0.0      0     0 ?        S    11:15   0:00 [kauditd]
root          53  0.0  0.0      0     0 ?        S    11:15   0:00 [khungtaskd]
root          55  0.0  0.0      0     0 ?        I    11:15   0:01 [kworker/u12:2-events_unbound]
root          56  0.0  0.0      0     0 ?        S    11:15   0:00 [oom_reaper]
root          57  0.0  0.0      0     0 ?        I<   11:15   0:00 [writeback]
root          58  0.0  0.0      0     0 ?        S    11:15   0:00 [kcompactd0]
root          59  0.0  0.0      0     0 ?        SN   11:15   0:00 [ksmd]
root          60  0.0  0.0      0     0 ?        I    11:15   0:00 [kworker/1:1-events]
root          61  0.0  0.0      0     0 ?        SN   11:15   0:00 [khugepaged]
root          62  0.0  0.0      0     0 ?        I<   11:15   0:00 [kintegrityd]
root          63  0.0  0.0      0     0 ?        I<   11:15   0:00 [kblockd]
